Nouns DAO Name,Treasury ,,NFT Vault,,FT Vault,,Proposal,,Voter,,Followers,,Status
"Longevity Nouns
Creator DAO","$ 302.9
0.18% (24H)","$ 302.9
0.18% (24H) TreasuryLongevity Nouns
Creator DAO",N/A,"N/A NFT Vault Longevity Nouns
Creator DAO",$302.90,"302.9 FT Vault Longevity Nouns
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"MferBuyersDAO
Creator DAO","$ 295.6
0.18% (24H)","$ 295.6
0.18% (24H) TreasuryMferBuyersDAO
Creator DAO",$295.60,"295.6 NFT Vault MferBuyersDAO
Creator DAO",N/A,"N/A FT Vault MferBuyersDAO
Creator DAO",5,5 Proposal,2,2 Voter,N/A,N/A Followers,Unverifed
"Pioneers
Creator DAO","$ 213.4
0.18% (24H)","$ 213.4
0.18% (24H) TreasuryPioneers
Creator DAO",N/A,"N/A NFT Vault Pioneers
Creator DAO",$213.40,"213.4 FT Vault Pioneers
Creator DAO",1,1 Proposal,2,2 Voter,N/A,N/A Followers,Unverifed
"Backpack
Creator DAO","$ 194.0
0.18% (24H)","$ 194.0
0.18% (24H) TreasuryBackpack
Creator DAO",N/A,"N/A NFT Vault Backpack
Creator DAO",$194.00,"194 FT Vault Backpack
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"NounsDAO Chinese
Creator DAO","$ 170.7
0.18% (24H)","$ 170.7
0.18% (24H) TreasuryNounsDAO Chinese
Creator DAO",N/A,"N/A NFT Vault NounsDAO Chinese
Creator DAO",$170.70,"170.7 FT Vault NounsDAO Chinese
Creator DAO",0,0 Proposal,0,0 Voter,155,155 Followers,Unverifed
"Blocked DAO
Creator DAO","$ 155.2
0.18% (24H)","$ 155.2
0.18% (24H) TreasuryBlocked DAO
Creator DAO",N/A,"N/A NFT Vault Blocked DAO
Creator DAO",$155.20,"155.2 FT Vault Blocked DAO
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Nounjis DAO
Creator DAO","$ 148.6
0.18% (24H)","$ 148.6
0.18% (24H) TreasuryNounjis DAO
Creator DAO",N/A,"N/A NFT Vault Nounjis DAO
Creator DAO",$148.60,"148.6 FT Vault Nounjis DAO
Creator DAO",1,1 Proposal,1,1 Voter,65,65 Followers,Unverifed
"Buds DAO
Creator DAO","$ 116.4
0.18% (24H)","$ 116.4
0.18% (24H) TreasuryBuds DAO
Creator DAO",N/A,"N/A NFT Vault Buds DAO
Creator DAO",$116.40,"116.4 FT Vault Buds DAO
Creator DAO",2,2 Proposal,2,2 Voter,N/A,N/A Followers,Unverifed
"PEPEDAO
Creator DAO","$ 116.4
0.18% (24H)","$ 116.4
0.18% (24H) TreasuryPEPEDAO
Creator DAO",N/A,"N/A NFT Vault PEPEDAO
Creator DAO",$116.40,"116.4 FT Vault PEPEDAO
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"VeryNounsAnimals
Creator DAO","$ 116.4
0.18% (24H)","$ 116.4
0.18% (24H) TreasuryVeryNounsAnimals
Creator DAO",N/A,"N/A NFT Vault VeryNounsAnimals
Creator DAO",$116.40,"116.4 FT Vault VeryNounsAnimals
Creator DAO",0,0 Proposal,0,0 Voter,64,64 Followers,Unverifed
"HourNouns DAO
Creator DAO","$ 116.4
0.18% (24H)","$ 116.4
0.18% (24H) TreasuryHourNouns DAO
Creator DAO",N/A,"N/A NFT Vault HourNouns DAO
Creator DAO",$116.40,"116.4 FT Vault HourNouns DAO
Creator DAO",3,3 Proposal,1,1 Voter,52,52 Followers,Unverifed
"OnChainKidz DAO
Creator DAO","$ 99.1
0.18% (24H)","$ 99.1
0.18% (24H) TreasuryOnChainKidz DAO
Creator DAO",N/A,"N/A NFT Vault OnChainKidz DAO
Creator DAO",$99.10,"99.1 FT Vault OnChainKidz DAO
Creator DAO",5,5 Proposal,1,1 Voter,2.1K,2.1K Followers,Verifed
"Stoner DAO
Creator DAO","$ 97.0
0.18% (24H)","$ 97.0
0.18% (24H) TreasuryStoner DAO
Creator DAO",N/A,"N/A NFT Vault Stoner DAO
Creator DAO",$97.00,"97 FT Vault Stoner DAO
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
